Local Authority / Region Code,Local Authority / Region Name,"Jan-23
(Rapid charging or above devices) [Note 4]","Jan-23
(per 100,000 population) [Note 3]","Oct-22
(Rapid charging or above devices)","Oct-22
(per 100,000 population)","July-22
(Rapid charging or above devices)","July-22
(per 100,000 population)","Apr-22
(Rapid charging or above devices)","Apr-22
(per 100,000 population)","Jan-22
(Rapid charging or above devices)2","Jan-22
(per 100,000 population) 3","Oct-21
(Rapid charging or above devices)","Oct-21
(per 100,000 population) ","July-21
(Rapid charging or above devices)","July-21
(per 100,000 population)","Apr-21
(Rapid charging or above devices)","Apr-21
(per 100,000 population)","Jan-21
(Rapid charging or above devices)","Jan-21
(per 100,000 population)","Oct-20
(Rapid charging or above devices)","Oct-20
(per 100,000 population)","Jul-20
(Rapid charging or above devices)","Jul-20
(per 100,000 population)","Apr-20
(Rapid charging or above devices)","Apr-20
(per 100,000 population)","Jan-20
(Rapid charging or above devices)","Jan-20
(per 100,000 population)","Oct-19
(Rapid charging or above devices)","Oct-19
(per 100,000 population)"
E07000140,South Holland,4,4.2,4,4.2,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E07000141,South Kesteven,32,22.3,31,21.6,31,21.6,26,18.2,26,18.2,26,18.2,8,5.6,26,18.3,26,18.3,26,18.3,24,16.9,23,16.2,23,16.2,15,10.6
E07000142,West Lindsey,14,14.6,11,11.4,10,10.4,10,10.4,8,8.3,8,8.3,8,8.3,8,8.4,6,6.3,6,6.3,6,6.3,6,6.3,6,6.3,7,7.4
E10000021,Northamptonshire (abolished April 2021),x,x,x,x,x,x,x,x,x,x,x,x,x,x,37,4.9,33,4.4,32,4.2,30,4.0,30,4.0,29,3.9,23,3.1
E07000150,Corby (abolished April 2021),x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,5.5,4,5.5,4,5.5,4,5.5,4,5.6,4,5.6,4,5.6
E07000151,Daventry (abolished April 2021),x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,7.0,6,7.0,6,7.0,6,7.0,6,7.1,6,7.1,6,7.1
E07000152,East Northamptonshire (abolished April 2021),x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E07000153,Kettering (abolished April 2021),x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,7.9,4,3.9,3,2.9,3,2.9,3,3.0,3,3.0,2,2.0
E07000154,Northampton (abolished April 2021),x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,1,0.4,0,0.0
E07000155,South Northamptonshire (abolished April 2021),x,x,x,x,x,x,x,x,x,x,x,x,x,x,14,14.8,14,14.8,14,14.8,13,13.8,13,14.1,13,14.1,9,9.7
E07000156,Wellingborough (abolished April 2021),x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,3.8,3,3.8,3,3.8,2,2.5,2,2.5,2,2.5,2,2.5
E10000024,Nottinghamshire,110,13.3,115,13.8,99,11.9,92,11.0,81,9.7,76,9.1,76,9.1,65,7.8,57,6.9,46,5.6,46,5.6,42,5.1,35,4.3,20,2.4
E07000170,Ashfield,10,7.9,10,7.8,10,7.8,8,6.2,4,3.1,4,3.1,4,3.1,4,3.1,2,1.6,2,1.6,2,1.6,2,1.6,3,2.4,1,0.8
E07000171,Bassetlaw,28,23.7,32,27.1,20,16.9,20,16.9,19,16.1,19,16.1,19,16.1,19,16.2,19,16.2,12,10.2,13,11.1,13,11.1,8,6.8,4,3.4
E07000172,Broxtowe,11,9.9,10,8.7,10,8.7,10,8.7,8,7.0,8,7.0,8,7.0,7,6.1,7,6.1,7,6.1,7,6.1,7,6.2,6,5.3,6,5.3
E07000173,Gedling,6,5.1,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,5,4.2,4,3.4,3,2.5
E07000174,Mansfield,12,10.8,12,11.0,12,11.0,12,11.0,12,11.0,11,10.1,11,10.1,10,9.1,9,8.2,7,6.4,6,5.5,6,5.5,8,7.4,3,2.8
E07000175,Newark and Sherwood,12,9.7,13,10.6,13,10.6,11,8.9,11,8.9,11,8.9,11,8.9,9,7.4,9,7.4,7,5.7,7,5.7,6,4.9,4,3.3,1,0.8
E07000176,Rushcliffe,31,26.0,33,27.2,29,23.9,26,21.4,22,18.1,18,14.8,18,14.8,11,9.2,6,5.0,6,5.0,6,5.0,3,2.5,2,1.7,2,1.7
E12000005,West Midlands,660,11.1,633,10.6,583,9.8,531,8.9,495,8.3,467,7.8,427,7.2,384,6.5,352,5.9,321,5.4,281,4.7,275,4.7,258,4.4,229,3.9
E06000019,"Herefordshire, County of",13,6.9,13,6.7,15,7.7,15,7.7,15,7.7,14,7.2,13,6.7,10,5.2,10,5.2,9,4.7,7,3.6,7,3.6,6,3.1,5,2.6
E06000051,Shropshire,27,8.3,27,8.3,26,8.0,25,7.7,23,7.1,23,7.1,21,6.5,21,6.5,21,6.5,19,5.9,19,5.9,17,5.3,17,5.3,14,4.4
E06000021,Stoke-on-Trent,20,7.8,19,7.4,15,5.8,10,3.9,10,3.9,10,3.9,8,3.1,8,3.1,6,2.3,5,2.0,4,1.6,4,1.6,3,1.2,5,2.0
E06000020,Telford and Wrekin,10,5.4,10,5.5,7,3.9,7,3.9,7,3.9,7,3.9,7,3.9,5,2.8,5,2.8,5,2.8,5,2.8,4,2.2,4,2.2,2,1.1
E10000028,Staffordshire,143,16.3,137,15.5,124,14.0,112,12.7,105,11.9,97,11.0,85,9.6,83,9.4,81,9.2,78,8.9,52,5.9,51,5.8,45,5.1,42,4.8
E07000192,Cannock Chase,17,16.9,16,15.8,11,10.8,11,10.8,9,8.9,9,8.9,9,8.9,9,8.9,8,7.9,7,6.9,7,6.9,7,7.0,7,7.0,5,5.0
E07000193,East Staffordshire,22,17.7,18,14.9,17,14.1,16,13.2,15,12.4,8,6.6,8,6.6,6,5.0,6,5.0,5,4.2,5,4.2,5,4.2,4,3.4,4,3.4
E07000194,Lichfield,5,4.7,5,4.7,5,4.7,4,3.8,2,1.9,2,1.9,3,2.8,3,2.9,3,2.9,3,2.9,2,1.9,2,1.9,1,1.0,1,1.0
E07000195,Newcastle-under-Lyme,25,20.3,23,17.7,23,17.7,22,17.0,22,17.0,22,17.0,22,17.0,21,16.2,20,15.5,20,15.5,19,14.7,19,14.7,19,14.7,19,14.7
E07000196,South Staffordshire,31,28.0,31,27.6,30,26.7,31,27.6,31,27.6,31,27.6,29,25.8,31,27.6,31,27.6,31,27.6,9,8.0,8,7.1,5,4.5,5,4.5
E07000197,Stafford,38,27.7,38,27.6,32,23.2,22,16.0,20,14.5,19,13.8,8,5.8,8,5.8,8,5.8,7,5.1,7,5.1,7,5.2,7,5.2,7,5.2
E07000198,Staffordshire Moorlands,2,2.1,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,1,1.0,1,1.0,1,1.0,0,0.0
E07000199,Tamworth,3,3.8,4,5.2,4,5.2,4,5.2,4,5.2,4,5.2,4,5.2,3,3.9,3,3.9,3,3.9,2,2.6,2,2.6,1,1.3,1,1.3
E10000031,Warwickshire,107,17.9,107,18.3,99,17.0,100,17.1,94,16.1,90,15.4,91,15.6,66,11.4,50,8.7,48,8.3,44,7.6,44,7.7,43,7.5,42,7.4
E07000218,North Warwickshire,20,30.6,20,30.6,20,30.6,20,30.6,19,29.0,19,29.0,19,29.0,19,29.1,4,6.1,4,6.1,4,6.1,4,6.2,4,6.2,4,6.2
E07000219,Nuneaton and Bedworth,9,6.7,9,6.9,8,6.1,7,5.4,7,5.4,6,4.6,6,4.6,6,4.6,6,4.6,5,3.8,5,3.8,5,3.9,5,3.9,5,3.9
E07000220,Rugby,28,24.4,28,25.3,28,25.3,30,27.1,27,24.4,27,24.4,27,24.4,3,2.8,3,2.8,3,2.8,0,0.0,0,0.0,0,0.0,0,0.0
E07000221,Stratford-on-Avon,39,28.7,39,29.5,31,23.4,31,23.4,30,22.7,31,23.4,31,23.4,31,23.8,30,23.1,29,22.3,28,21.5,28,21.9,28,21.9,28,21.9
E07000222,Warwick,11,7.4,11,7.6,12,8.3,12,8.3,11,7.6,7,4.8,8,5.5,7,4.9,7,4.9,7,4.9,7,4.9,7,4.9,6,4.2,5,3.5
E11000005,West Midlands (Metropolitan County),263,9.0,246,8.4,226,7.7,194,6.6,173,5.9,158,5.4,141,4.8,137,4.7,126,4.3,104,3.6,99,3.4,97,3.3,89,3.1,73,2.5
E08000025,Birmingham,109,9.5,96,8.4,82,7.2,67,5.9,50,4.4,44,3.9,31,2.7,28,2.5,27,2.4,11,1.0,13,1.1,12,1.1,10,0.9,6,0.5
E08000026,Coventry,51,14.9,51,13.4,50,13.2,50,13.2,49,12.9,45,11.9,45,11.9,46,12.4,43,11.6,42,11.3,39,10.5,38,10.4,34,9.3,30,8.2
E08000027,Dudley,18,5.6,16,5.0,15,4.7,13,4.0,11,3.4,11,3.4,11,3.4,11,3.4,11,3.4,11,3.4,11,3.4,11,3.4,9,2.8,7,2.2
E08000028,Sandwell,18,5.3,20,6.1,18,5.5,11,3.3,12,3.6,12,3.6,12,3.6,11,3.3,8,2.4,8,2.4,8,2.4,8,2.4,8,2.4,3,0.9
E08000029,Solihull,26,12.0,25,11.5,25,11.5,17,7.8,17,7.8,13,6.0,11,5.1,10,4.6,10,4.6,8,3.7,8,3.7,8,3.7,8,3.7,8,3.7
E08000030,Walsall,16,5.6,13,4.5,12,4.2,11,3.8,9,3.1,9,3.1,8,2.8,9,3.2,8,2.8,7,2.5,6,2.1,6,2.1,6,2.1,6,2.1
E08000031,Wolverhampton,25,9.5,25,9.5,24,9.1,25,9.5,25,9.5,24,9.1,23,8.7,22,8.4,19,7.2,17,6.5,14,5.3,14,5.3,14,5.3,13,5.0
E10000034,Worcestershire,77,12.7,74,12.4,71,11.9,68,11.4,68,11.4,68,11.4,61,10.2,54,9.1,53,8.9,53,8.9,51,8.6,51,8.6,51,8.6,46,7.8
E07000234,Bromsgrove,34,34.2,34,33.8,32,31.8,30,29.8,30,29.8,30,29.8,30,29.8,22,22.0,22,22.0,22,22.0,22,22.0,22,22.3,22,22.3,21,21.3
E07000235,Malvern Hills,4,5.0,4,5.0,4,5.0,4,5.0,4,5.0,4,5.0,4,5.0,4,5.1,4,5.1,4,5.1,4,5.1,4,5.1,4,5.1,4,5.1
E07000236,Redditch,6,6.9,5,5.8,5,5.8,2,2.3,2,2.3,2,2.3,2,2.3,3,3.5,3,3.5,3,3.5,2,2.3,2,2.4,2,2.4,2,2.4
E07000237,Worcester,13,12.5,13,13.0,12,12.0,13,13.0,13,13.0,13,13.0,7,7.0,7,6.9,7,6.9,7,6.9,6,5.9,6,5.9,6,5.9,6,5.9
E07000238,Wychavon,11,8.3,11,8.4,11,8.4,13,9.9,13,9.9,14,10.7,13,9.9,14,10.8,14,10.8,14,10.8,14,10.8,14,11.0,14,11.0,10,7.9
E07000239,Wyre Forest,9,8.8,7,6.9,7,6.9,6,5.9,6,5.9,5,4.9,5,4.9,4,3.9,3,3.0,3,3.0,3,3.0,3,3.0,3,3.0,3,3.0
E12000006,East of England,567,8.9,539,8.6,521,8.3,439,7.0,402,6.4,379,6.0,371,5.9,338,5.4,300,4.8,263,4.2,211,3.4,203,3.3,185,3.0,168,2.7
E06000055,Bedford,26,14.0,27,15.5,27,15.5,23,13.2,22,12.6,22,12.6,19,10.9,18,10.4,18,10.4,17,9.8,7,4.0,6,3.5,6,3.5,5,2.9
E06000056,Central Bedfordshire,13,4.4,13,4.4,11,3.7,12,4.1,13,4.4,13,4.4,11,3.7,11,3.8,10,3.5,10,3.5,9,3.1,9,3.2,8,2.8,9,3.2
E06000032,Luton,4,1.8,3,1.4,3,1.4,4,1.9,4,1.9,3,1.4,3,1.4,3,1.4,3,1.4,3,1.4,2,0.9,3,1.4,3,1.4,2,0.9
E06000031,Peterborough,18,8.3,14,6.9,14,6.9,14,6.9,14,6.9,14,6.9,14,6.9,15,7.4,14,6.9,11,5.4,11,5.4,9,4.5,9,4.5,9,4.5
E06000033,Southend-on-Sea,5,2.8,5,2.7,4,2.2,4,2.2,3,1.6,3,1.6,3,1.6,3,1.6,2,1.1,2,1.1,2,1.1,2,1.1,2,1.1,1,0.5
E06000034,Thurrock,44,25.0,44,25.1,46,26.2,35,19.9,11,6.3,11,6.3,10,5.7,11,6.3,10,5.7,10,5.7,10,5.7,10,5.8,9,5.2,9,5.2
E10000003,Cambridgeshire,57,8.4,54,8.2,54,8.2,52,7.9,54,8.2,52,7.9,50,7.6,36,5.5,32,4.9,32,4.9,24,3.7,18,2.8,16,2.5,16,2.5
E07000008,Cambridge,25,17.3,25,20.0,25,20.0,24,19.2,24,19.2,24,19.2,22,17.6,8,6.4,8,6.4,8,6.4,8,6.4,8,6.4,6,4.8,6,4.8
E07000009,East Cambridgeshire,3,3.4,3,3.3,3,3.3,3,3.3,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2
E07000010,Fenland,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
E07000011,Huntingdonshire,16,8.8,16,8.9,16,8.9,15,8.4,15,8.4,14,7.8,14,7.8,14,7.9,10,5.6,10,5.6,8,4.5,3,1.7,3,1.7,3,1.7
E07000012,South Cambridgeshire,12,7.4,9,5.6,9,5.6,9,5.6,12,7.5,11,6.8,11,6.8,11,6.9,11,6.9,11,6.9,6,3.8,5,3.2,5,3.2,5,3.2
E10000012,Essex,143,9.5,139,9.3,128,8.5,122,8.1,117,7.8,109,7.3,109,7.3,96,6.4,88,5.9,62,4.2,43,2.9,44,3.0,37,2.5,34,2.3
E07000066,Basildon,11,5.9,11,5.9,11,5.9,11,5.9,11,5.9,10,5.3,10,5.3,9,4.8,6,3.2,5,2.7,2,1.1,2,1.1,0,0.0,0,0.0
E07000067,Braintree,36,23.1,34,22.2,35,22.9,35,22.9,35,22.9,35,22.9,35,22.9,23,15.1,23,15.1,5,3.3,5,3.3,5,3.3,5,3.3,4,2.6
E07000068,Brentwood,2,2.6,2,2.6,2,2.6,2,2.6,2,2.6,2,2.6,2,2.6,2,2.6,1,1.3,1,1.3,1,1.3,1,1.3,1,1.3,1,1.3
E07000069,Castle Point,3,3.3,3,3.3,3,3.3,3,3.3,3,3.3,3,3.3,3,3.3,3,3.3,2,2.2,2,2.2,1,1.1,1,1.1,1,1.1,1,1.1
E07000070,Chelmsford,20,11.0,20,11.1,21,11.7,21,11.7,19,10.6,16,8.9,16,8.9,16,9.0,16,9.0,8,4.5,7,3.9,7,4.0,6,3.4,6,3.4
E07000071,Colchester,29,15.1,29,14.7,25,12.7,24,12.2,21,10.6,19,9.6,19,9.6,19,9.8,19,9.8,20,10.3,8,4.1,8,4.2,7,3.6,5,2.6
E07000072,Epping Forest,11,8.2,10,7.6,10,7.6,8,6.1,9,6.8,9,6.8,9,6.8,9,6.8,8,6.1,8,6.1,6,4.6,6,4.6,6,4.6,6,4.6
E07000073,Harlow,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E07000074,Maldon,4,6.0,3,4.6,3,4.6,2,3.1,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1,1.6,1,1.6,1,1.6
E07000075,Rochford,10,11.6,10,11.4,8,9.1,6,6.8,6,6.8,4,4.6,4,4.6,4,4.6,2,2.3,2,2.3,2,2.3,2,2.3,0,0.0,0,0.0
E07000076,Tendring,8,5.4,8,5.4,2,1.4,2,1.4,2,1.4,2,1.4,2,1.4,2,1.4,2,1.4,2,1.4,2,1.4,3,2.1,2,1.4,2,1.4
E07000077,Uttlesford,9,9.8,9,9.7,8,8.6,8,8.6,8,8.6,8,8.6,8,8.6,8,8.8,8,8.8,8,8.8,8,8.8,8,9.0,8,9.0,8,9.0
E10000015,Hertfordshire,84,7.0,80,6.7,78,6.5,63,5.3,58,4.9,59,4.9,60,5.0,55,4.6,53,4.5,50,4.2,43,3.6,42,3.5,37,3.1,34,2.9
E07000095,Broxbourne,3,3.0,3,3.1,3,3.1,3,3.1,3,3.1,3,3.1,3,3.1,2,2.1,2,2.1,2,2.1,2,2.1,2,2.1,1,1.0,1,1.0
E07000096,Dacorum,6,3.9,6,3.9,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,3,1.9,2,1.3
E07000242,East Hertfordshire,2,1.3,2,1.3,2,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E07000098,Hertsmere,28,25.9,27,25.6,25,23.7,19,18.0,19,18.0,19,18.0,19,18.0,17,16.2,17,16.2,17,16.2,16,15.2,16,15.4,15,14.4,15,14.4
E07000099,North Hertfordshire,15,11.2,15,11.2,15,11.2,10,7.5,9,6.7,10,7.5,10,7.5,8,6.0,8,6.0,8,6.0,4,3.0,4,3.0,4,3.0,3,2.3
E07000240,St Albans,10,6.7,12,8.0,10,6.7,10,6.7,6,4.0,6,4.0,6,4.0,6,4.0,6,4.0,6,4.0,6,4.0,6,4.1,5,3.4,5,3.4
E07000243,Stevenage,4,4.5,2,2.3,2,2.3,2,2.3,2,2.3,1,1.1,1,1.1,1,1.1,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E07000102,Three Rivers,5,5.3,3,3.2,4,4.3,4,4.3,4,4.3,5,5.3,5,5.3,4,4.3,4,4.3,4,4.3,2,2.1,2,2.1,1,1.1,1,1.1
E07000103,Watford,4,3.9,4,4.1,7,7.2,7,7.2,7,7.2,7,7.2,7,7.2,8,8.3,7,7.2,5,5.2,5,5.2,4,4.1,4,4.1,4,4.1
E07000241,Welwyn Hatfield,7,5.9,6,4.8,6,4.8,4,3.2,4,3.2,4,3.2,5,4.0,5,4.1,4,3.3,4,3.3,4,3.3,4,3.3,4,3.3,3,2.4
E10000020,Norfolk,111,12.1,107,11.7,109,11.9,71,7.8,66,7.2,56,6.1,55,6.0,53,5.8,33,3.6,34,3.7,31,3.4,31,3.4,30,3.3,24,2.7
E07000143,Breckland,26,18.3,24,17.0,24,17.0,24,17.0,23,16.3,17,12.0,17,12.0,16,11.4,8,5.7,9,6.4,8,5.7,8,5.7,8,5.7,7,5.0
E07000144,Broadland,39,29.5,38,28.8,38,28.8,7,5.3,7,5.3,7,5.3,6,4.5,6,4.6,5,3.8,5,3.8,3,2.3,3,2.3,3,2.3,2,1.5
E07000145,Great Yarmouth,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0
E07000146,King's Lynn and West Norfolk,13,8.4,13,8.6,12,7.9,15,9.9,15,9.9,15,9.9,15,9.9,15,9.9,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,4,2.6
E07000147,North Norfolk,5,4.8,3,2.9,5,4.8,3,2.9,3,2.9,3,2.9,3,2.9,3,2.9,3,2.9,3,2.9,3,2.9,3,2.9,2,1.9,1,1.0
E07000148,Norwich,14,9.8,16,11.3,14,9.8,8,5.6,7,4.9,7,4.9,7,4.9,6,4.3,6,4.3,6,4.3,6,4.3,6,4.3,6,4.3,6,4.3
E07000149,South Norfolk,12,8.4,11,7.7,14,9.8,12,8.4,9,6.3,5,3.5,5,3.5,5,3.5,4,2.8,4,2.8,4,2.8,4,2.9,4,2.9,2,1.4
E10000029,Suffolk,62,8.1,53,7.0,47,6.2,39,5.1,40,5.3,37,4.9,37,4.9,37,4.9,37,4.9,32,4.2,29,3.8,29,3.8,28,3.7,25,3.3
E07000200,Babergh,11,11.9,11,11.9,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.4,4,4.4,3,3.3
E07000244,East Suffolk,10,4.1,9,3.6,10,4.0,11,4.4,10,4.0,10,4.0,10,4.0,10,4.0,10,4.0,9,3.6,7,2.8,7,2.8,6,2.4,4,1.6
E07000202,Ipswich,4,2.9,4,2.9,4,2.9,3,2.2,4,2.9,4,2.9,4,2.9,4,2.9,4,2.9,3,2.2,3,2.2,3,2.2,3,2.2,3,2.2
E07000203,Mid Suffolk,4,3.9,4,3.8,4,3.8,4,3.8,4,3.8,4,3.8,4,3.8,4,3.9,4,3.9,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
E07000245,West Suffolk,33,18.3,25,14.1,25,14.1,17,9.6,18,10.2,15,8.5,15,8.5,15,8.4,15,8.4,15,8.4,14,7.8,14,7.8,14,7.8,14,7.8
E12000007,London,854,9.7,820,9.1,760,8.4,736,8.2,722,8.0,692,7.7,615,6.8,579,6.5,515,5.7,465,5.2,437,4.9,430,4.8,385,4.3,323,3.6
